-1689.57,0.576559,-0.0266973,0.228561-0.975918,-0.0168405,-0.217489,-0.217592,0.00457085,0.976029,-0.0154427,0.999848,-0.00812512
-1689.57,0.539636,-0.0375819,0.263711-0.0143529,-0.992923,0.117892,0.118977,0.115371,0.986171,-0.992793,0.0281808,0.116479
-1689.57,0.513372,-0.0695465,0.178480.976592,0.100946,0.189945,0.110023,-0.993208,-0.0378405,0.184835,0.0578531,-0.981065
-1689.57,0.579272,-0.0231337,0.212989-0.914477,0.352835,-0.198087,-0.183529,0.0746172,0.980178,0.360622,0.932705,-0.00348018
-1876.76,0.579326,-0.024203,0.230577-0.996124,-0.052262,0.0707533,0.0704095,0.00839175,0.997483,-0.0527242,0.998598,-0.00467948
-1876.76,0.577359,-0.0266359,0.214533-0.908075,0.357909,-0.217489,-0.19928,0.0874919,0.976029,0.368358,0.929649,-0.00812512
-1876.76,0.502319,-0.0251309,0.1960640.712251,0.691953,0.117892,-0.165709,0.00254994,0.986171,0.682084,-0.721938,0.116479
-1876.76,0.594213,-0.00072993,0.210313-0.739215,-0.607801,0.290067,-0.159078,-0.260936,-0.952159,0.654412,-0.749993,0.0961994
-1962.4,0.578697,-0.0231933,0.228932-0.979891,-0.023978,-0.198087,-0.198114,-0.00129625,0.980178,-0.0237595,0.999712,-0.00348018
-1962.4,0.579518,-0.0205194,0.233008-0.994321,-0.0978696,0.0418105,0.0400299,0.0200876,0.998997,-0.0986112,0.994996,-0.0160559
-1962.4,0.525039,0.024076,0.2054440.173816,-0.231583,-0.957161,-0.801719,0.531147,-0.274098,0.57187,0.815016,-0.0933427
-1962.4,0.531412,-0.0391933,0.2856780.366715,-0.922834,0.117892,0.0657698,0.152119,0.986171,-0.928006,-0.35389,0.116479
-2228.14,0.481081,-0.0302744,0.2611080.911848,-0.393235,0.117892,-0.0610581,0.154071,0.986171,-0.405961,-0.906437,0.116479
-2228.14,0.498941,-0.0315447,0.2044260.828158,0.556778,-0.0644398,0.0486123,0.0431856,0.997884,0.558382,-0.829538,0.00869828
-2228.14,0.521964,0.0341182,0.2074870.249208,-0.147438,-0.957161,-0.943953,0.183912,-0.274098,0.216446,0.971822,-0.0933427
-2228.14,0.540491,0.0251942,0.2060420.0298127,-0.0499424,-0.998307,-0.833538,0.549971,-0.0524056,0.551657,0.833689,-0.0252327
-2846.14,0.553794,0.0253636,0.195135-0.215375,0.0642948,-0.974413,-0.767203,0.6062,0.209574,0.604163,0.792709,-0.0812329
-2846.14,0.496711,-0.0335927,0.2051180.774543,0.630789,-0.0467658,0.0266824,0.0412858,0.998791,0.631958,-0.774855,0.0151467
-2846.14,0.494653,-0.0251401,0.2039010.922834,0.366715,0.117892,-0.152119,0.0657698,0.986171,0.35389,-0.928006,0.116479
-2846.14,0.500015,-0.0372521,0.2037170.813347,0.579013,-0.0566673,0.0409099,0.0402409,0.998352,0.580339,-0.814325,0.00904248
